y,x
19583,3346
20263,3114
20325,3554
26800,4542
29470,4669
26610,4888
30678,5710
27170,5536
25853,4168
24500,3547
24274,3159
27170,3621
30168,3782
26525,4247
27360,3982
21690,3568
21974,3155
20816,3059
18095,2967
20939,3285
22644,3914
24624,4517
27186,4349
33990,5020
23382,3594
20627,2821
22795,3366
21570,2920
22080,2980
22250,3731
20940,2853
21800,2533
22934,2729
18443,2305
19538,2642
20460,3124
21419,2752
25160,3429
22482,3947
20969,2509
27224,5440
25892,4042
22644,3402
24640,2829
22341,2297
25610,2932
26015,3705
25788,4123
29132,3608
41480,8349
25845,3766
