GDP,第一产业增加值,第二产业增加值,第三产业增加值
18667.8 ,5062.0 ,7717.4 ,5888.4 
21781.5 ,5342.2 ,9102.2 ,7337.1 
26923.5 ,5866.6 ,11699.5 ,9357.4 
35333.9 ,6963.8 ,16454.4 ,11915.7 
48197.9 ,9572.7 ,22445.4 ,16179.8 
60793.7 ,12135.8 ,28679.5 ,19978.5 
71176.6 ,14015.4 ,33835.0 ,23326.2 
78973.0 ,14441.9 ,37543.0 ,26988.1 
84402.3 ,14817.6 ,39004.2 ,30580.5 
89677.1 ,14770.0 ,41033.6 ,33873.4 
99214.6 ,14944.7 ,45555.9 ,38714.0 
109655.2 ,15781.3 ,49512.3 ,44361.6 
120332.7 ,16537.0 ,53896.8 ,49898.9 
135822.8 ,17381.3 ,62436.3 ,56004.7 
159878.3 ,21412.7 ,73904.3 ,64561.3 
184937.4 ,22420.0 ,87598.1 ,74919.3 
216314.4 ,24040.0 ,103719.5 ,88554.9 
265810.3 ,28627.0 ,125831.4 ,111351.9 
314045.4 ,33702.0 ,149003.4 ,131340.0 
340902.8 ,35226.0 ,157638.8 ,148038.0 
401512.8 ,40533.6 ,187383.2 ,173596.0 
473104.0 ,47486.2 ,220412.8 ,205205.0 
518942.1 ,52373.6 ,235162.0 ,231406.5 
