LotFrontage,LotArea,YearBuilt,MasVnrArea,TotalBsmtSF,BsmtUnfSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageArea,SalePrice
65.0,8450,2003,196.0,856,150,1710,3,8,548,208500
80.0,9600,1976,0.0,1262,284,1262,3,6,460,181500
68.0,11250,2001,162.0,920,434,1786,3,6,608,223500
60.0,9550,1915,0.0,756,540,1717,3,7,642,140000
84.0,14260,2000,350.0,1145,490,2198,4,9,836,250000
85.0,14115,1993,0.0,796,64,1362,1,5,480,143000
75.0,10084,2004,186.0,1686,317,1694,3,7,636,307000
51.0,6120,1931,0.0,952,952,1774,2,8,468,129900
50.0,7420,1939,0.0,991,140,1077,2,5,205,118000
70.0,11200,1965,0.0,1040,134,1040,3,5,384,129500
85.0,11924,2005,286.0,1175,177,2324,4,11,736,345000
91.0,10652,2006,306.0,1494,1494,1494,3,7,840,279500
51.0,6120,1929,0.0,832,832,854,2,5,576,132000
72.0,10791,1967,0.0,0,0,1296,2,6,516,90000
66.0,13695,2004,0.0,1114,468,1114,3,6,576,159000
70.0,7560,1958,0.0,1029,525,1339,3,6,294,139000
101.0,14215,2005,380.0,1158,1158,2376,4,9,853,325300
57.0,7449,1930,0.0,637,637,1108,3,6,280,139400
75.0,9742,2002,281.0,1777,1777,1795,3,7,534,230000
44.0,4224,1976,0.0,1040,200,1060,3,6,572,129900
110.0,14230,2007,640.0,1566,1566,1600,3,7,890,256300
60.0,7200,1951,0.0,900,180,900,3,5,576,134800
98.0,11478,2007,200.0,1704,486,1704,3,7,772,306000
47.0,16321,1957,0.0,1484,207,1600,2,6,319,207500
60.0,6324,1927,0.0,520,520,520,1,4,240,68500
50.0,8500,1920,0.0,649,649,1317,3,6,250,40000
85.0,11049,2007,0.0,1234,1234,1234,3,7,484,179900
70.0,10552,1959,0.0,1398,380,1700,4,6,447,165500
60.0,7313,2005,246.0,1561,408,1561,2,6,556,277500
108.0,13418,2004,132.0,1117,1117,2452,4,9,691,309000
112.0,10859,1994,0.0,1097,1097,1097,3,6,672,145000
74.0,8532,1954,650.0,1297,84,1297,3,5,498,153000
68.0,7922,1953,0.0,1057,326,1057,3,5,246,109000
65.0,6040,1955,0.0,0,0,1152,2,6,0,82000
84.0,8658,1965,101.0,1088,445,1324,3,6,440,160000
115.0,16905,1959,0.0,1350,383,1328,2,5,308,170000
70.0,7945,1959,0.0,1150,465,1150,3,6,300,141000
61.0,7658,2005,412.0,1752,1296,1752,2,6,576,319900
48.0,12822,2003,0.0,1434,83,2149,1,6,670,239686
84.0,11096,2006,0.0,1656,1632,1656,3,7,826,249700
33.0,4456,1920,0.0,736,736,1452,2,8,0,113000
66.0,7742,1966,0.0,955,192,955,3,6,386,127000
52.0,6240,1934,0.0,816,816,1176,3,6,528,114500
110.0,8472,1963,0.0,816,0,816,2,5,516,110000
68.0,50271,1981,0.0,1842,32,1842,0,5,894,385000
60.0,7134,1955,0.0,384,0,1360,3,6,572,130000
100.0,10175,1964,272.0,1425,935,1425,3,7,576,180500
24.0,2645,1999,456.0,970,321,1739,3,7,480,172500
89.0,11645,2004,0.0,860,860,1720,3,7,565,196500
66.0,13682,2006,1031.0,1410,1410,2945,3,10,641,438780
60.0,7200,1972,0.0,780,148,780,2,4,352,124900
63.0,13072,2004,0.0,1158,217,1158,3,5,576,158000
60.0,7200,1920,0.0,530,530,1111,3,6,288,101000
44.0,6442,2006,178.0,1370,1346,1370,2,6,484,202500
50.0,10300,1921,0.0,576,576,1710,3,9,480,140000
76.0,9591,2004,344.0,1143,1143,2473,4,9,852,317000
72.0,10665,2003,167.0,1453,440,1479,3,7,558,226000
47.0,4608,1945,0.0,747,747,747,2,4,220,80000
81.0,15593,1953,0.0,1304,701,2287,3,7,667,225000
95.0,13651,1973,1115.0,2223,343,2223,3,8,516,244000
69.0,7599,1982,0.0,845,280,845,2,4,360,129500
74.0,10141,1998,40.0,832,832,1718,3,7,427,185000
85.0,10200,1954,104.0,1086,404,1086,3,6,490,144900
60.0,5790,1915,0.0,840,840,1605,3,8,379,107400
21.0,1596,1973,0.0,462,0,988,2,5,297,91000
50.0,8635,1948,0.0,672,295,1285,2,6,240,127000
72.0,10778,1968,0.0,1768,1768,1768,4,8,0,136500
60.0,10440,1910,0.0,440,440,1230,2,5,440,110000
100.0,13000,1968,576.0,896,448,2142,4,8,509,193500
32.0,4500,1998,443.0,1237,36,1337,2,5,405,153500
78.0,10206,2007,468.0,1563,1530,1563,3,6,758,245000
80.0,8892,1960,66.0,1065,1065,1065,3,6,461,126500
121.0,16059,1991,284.0,1288,1288,2417,4,9,462,260000
122.0,11911,2005,0.0,684,684,1560,3,6,400,174000
40.0,3951,2009,76.0,612,612,1224,2,4,528,164500
105.0,8470,1915,0.0,1013,1013,1526,2,6,0,85000
60.0,8070,1994,0.0,990,402,990,3,5,0,123600
60.0,7200,1950,0.0,0,0,1040,2,4,420,109900
85.0,8500,1961,203.0,1235,635,1235,2,6,480,98600
80.0,13360,1921,0.0,876,163,964,2,5,432,163500
60.0,7200,1910,0.0,1214,168,2291,4,9,506,133900
69.0,9337,1997,0.0,824,176,1786,3,7,684,204750
78.0,10264,1999,183.0,1588,426,1588,3,6,472,214000
73.0,10921,1965,48.0,960,440,960,3,6,432,94750
85.0,10625,1920,0.0,458,350,835,2,5,366,83000
77.0,9320,1959,0.0,950,381,1225,3,6,0,128950
77.0,9206,1985,336.0,741,741,1732,3,7,476,178000
64.0,7018,1979,0.0,0,0,1535,4,8,410,118964
94.0,10402,2009,0.0,1226,1226,1226,3,6,740,198900
75.0,9375,2003,768.0,1053,1053,1992,3,9,648,250000
60.0,10800,1885,0.0,641,641,1047,2,6,273,100000
50.0,6000,1948,0.0,789,516,789,2,5,250,115000
85.0,8500,1919,0.0,793,793,1517,3,7,0,115000
105.0,11751,1977,480.0,1844,1139,1844,3,7,546,190000
75.0,9525,1954,0.0,994,550,1855,4,7,325,136900
77.0,9965,2007,220.0,1264,280,2696,4,10,792,383970
61.0,7259,1945,0.0,1028,104,2320,3,9,180,259500
34.0,3230,1999,1129.0,729,310,1458,2,5,440,176000
74.0,8536,2006,0.0,1125,1125,1125,2,5,430,155000
90.0,12376,1990,0.0,1673,203,3222,5,11,594,320000
65.0,8461,2005,0.0,728,728,1456,3,8,390,163990
50.0,6060,1939,0.0,732,732,1123,3,4,264,100000
75.0,9464,1958,135.0,1080,510,1080,3,5,288,136000
55.0,7892,1993,0.0,1199,899,1199,2,5,530,153900
48.0,17043,1979,0.0,1362,1362,1586,3,7,435,181000
60.0,6780,1935,0.0,520,30,754,2,5,0,84500
55.0,4388,1930,0.0,672,556,840,3,5,0,87000
69.0,7590,1966,266.0,660,148,1348,3,6,453,155000
69.0,8973,1958,85.0,1008,413,1053,3,6,750,150000
88.0,14200,1966,309.0,924,479,2157,4,8,487,226000
75.0,7388,1959,0.0,1063,658,1327,3,7,624,150750
78.0,10335,1968,0.0,1461,891,1721,3,7,440,180000
80.0,10400,1970,288.0,1304,1304,1682,3,7,530,174000
82.0,11070,1988,70.0,1907,1907,1959,5,9,766,171000
73.0,9066,1999,320.0,1004,336,1852,3,7,660,230000
65.0,15426,1997,0.0,928,107,1764,3,7,470,231500
70.0,10500,1971,0.0,864,432,864,3,5,0,115000
78.0,11645,2005,0.0,1734,434,1734,3,7,660,260000
71.0,8520,1952,0.0,910,403,1385,4,6,720,166000
78.0,10335,1999,183.0,1490,811,1501,3,6,577,204000
70.0,9100,1963,336.0,1728,396,1728,6,10,504,125000
24.0,2522,2004,50.0,970,970,1709,3,7,380,130000
51.0,6120,1931,0.0,715,506,875,2,5,180,105000
63.0,7500,2004,120.0,1080,400,1080,3,6,0,141000
120.0,10356,1975,0.0,969,253,969,3,5,440,122000
107.0,13891,2007,436.0,1710,310,1710,2,6,866,372402
84.0,11340,1923,0.0,1200,1200,1200,4,7,312,125000
60.0,9600,1924,0.0,572,572,1096,2,5,0,79000
60.0,7200,1950,0.0,0,0,1040,2,5,625,109500
92.0,12003,2009,84.0,774,774,1968,4,8,680,269500
100.0,12552,2004,0.0,991,769,1947,3,8,678,254900
134.0,19378,2005,456.0,1392,1335,2462,4,9,576,320000
110.0,13688,2003,664.0,1572,556,2668,3,10,726,412500
95.0,12182,2005,226.0,1541,340,1541,3,7,532,220000
55.0,5500,1956,0.0,882,882,882,1,4,0,103200
40.0,5400,1926,0.0,1149,779,1616,3,5,216,152000
62.0,10106,1940,0.0,644,112,1355,4,6,0,127500
86.0,10562,2007,300.0,1582,294,2161,3,8,789,325624
62.0,8244,2004,0.0,840,840,1720,3,7,440,183500
141.0,31770,1960,112.0,1080,441,1656,3,7,528,215000
44.0,5306,1987,0.0,1064,354,1767,2,5,504,239000
80.0,10197,1961,491.0,1362,700,1362,3,6,504,163000
47.0,12416,1986,132.0,1606,0,1651,3,7,616,184000
84.0,12615,1950,0.0,1202,725,2158,4,7,576,243000
97.0,10029,1988,268.0,1151,320,2060,4,8,521,211000
63.0,17423,2008,748.0,2216,312,2234,1,9,1166,501837
60.0,8520,1923,0.0,968,968,968,2,5,480,100000
54.0,7588,1920,0.0,793,441,1802,4,9,216,200100
60.0,9060,1957,98.0,0,0,1340,3,7,252,120000
63.0,11426,2003,0.0,1362,1362,2082,3,6,484,200000
92.0,7438,1908,0.0,504,504,1252,3,5,576,127000
90.0,22950,1892,0.0,1107,1107,3608,4,12,840,475000
60.0,10410,1916,0.0,660,660,1656,3,8,180,135000
64.0,7018,1979,275.0,1086,0,1224,2,6,528,153337
41.0,4923,2001,0.0,1593,440,1593,0,5,682,286000
70.0,10570,1932,0.0,853,556,2727,3,10,440,315000
68.0,9017,1999,0.0,1431,871,1431,3,6,666,192000
24.0,2522,2004,50.0,970,970,1709,3,7,380,130000
60.0,7180,1972,0.0,864,474,864,3,5,352,127000
24.0,2280,1976,0.0,855,289,1456,3,7,440,148500
79.0,9416,2007,205.0,1726,600,1726,3,8,786,311872
